service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
    744200,0,0,0,0,0,1,0,20210805,20210821
    744300,0,0,0,0,0,0,1,20210805,20210821
    744400,1,1,1,1,1,0,0,20210805,20210821
    744433,0,0,0,0,1,0,0,20210805,20210821
    744445,1,1,1,1,0,0,0,20210805,20210821
    745200,0,0,0,0,0,1,0,20210822,20211211
    745300,0,0,0,0,0,0,1,20210822,20211211
    745400,1,1,1,1,1,0,0,20210822,20211211
    745433,0,0,0,0,1,0,0,20210822,20211211
    745445,1,1,1,1,0,0,0,20210822,20211211
